"","Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"1","Acadian redfish","Gulf of Maine / Georges Bank","bbmsy","Population","2017",1.45200002193451,"10",41,7,0.24390243902439,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"2","Acadian redfish","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2017",0.275000005960464,"10",36,7,0.277777777777778,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"3","Acadian redfish","Gulf of Maine / Georges Bank","asmt_catch","Socioeconomic","1942",55892,"33",40,7,0.825,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"4","Acadian redfish","Gulf of Maine / Georges Bank","recruitment","Population","magnitude of % change, mean of 2009 - 2019 vs historic",0.677429051265801,"14",23,7,0.608695652173913,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"5","Acadian redfish","Gulf of Maine / Georges Bank","asmt_abundance","Population",NA,NA,NA,NA,7,0.5,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"6","Acadian redfish","Gulf of Maine / Georges Bank","asmt_biomass","Population","magnitude of % change, mean of 2009 - 2019 vs historic",0.140472936653715,"6",36,7,0.166666666666667,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"7","Acadian redfish","Gulf of Maine / Georges Bank","biomass_fall","Population","magnitude of % change, mean of 2009 - 2019 vs historic",0.807372886056624,"41",51,7,0.803921568627451,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"8","Acadian redfish","Gulf of Maine / Georges Bank","biomass_spring","Population","magnitude of % change, mean of 2010 - 2020 vs historic",0.17952314125194,"5",51,7,0.0980392156862745,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"9","Acadian redfish","Gulf of Maine / Georges Bank","abundance_fall","Population","magnitude of % change, mean of 2009 - 2019 vs historic",0.790130264763818,"41",51,7,0.803921568627451,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"10","Acadian redfish","Gulf of Maine / Georges Bank","abundance_spring","Population","magnitude of % change, mean of 2010 - 2020 vs historic",0.238952266436809,"11",51,7,0.215686274509804,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"11","Acadian redfish","Gulf of Maine / Georges Bank","avg_length_fall","Biological","magnitude of % change, mean of 2009 - 2019 vs historic",0.0591993603902224,"19",51,7,0.372549019607843,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"12","Acadian redfish","Gulf of Maine / Georges Bank","avg_length_spring","Biological","magnitude of % change, mean of 2010 - 2020 vs historic",0.103560710238454,"31",51,7,0.607843137254902,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"13","Acadian redfish","Gulf of Maine / Georges Bank","max_length_fall","Biological","magnitude of % change, mean of 2009 - 2019 vs historic",0.0265737626141279,"6",51,7,0.117647058823529,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"14","Acadian redfish","Gulf of Maine / Georges Bank","max_length_spring","Biological","magnitude of % change, mean of 2010 - 2020 vs historic",0.0557043385109801,"14",51,7,0.274509803921569,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"15","Acadian redfish","Gulf of Maine / Georges Bank","NRCC_ranking","Management","NRCC_risk_assessment",1.28,"1",43,7,0.0227272727272727,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"16","Acadian redfish","Gulf of Maine / Georges Bank","diet","Biological","all time",10,"6",45,7,0.545454545454545,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"17","Acadian redfish","Gulf of Maine / Georges Bank","rec_catch","Socioeconomic","mean of 2014 - 2019",164798.8,"19",38,7,0.59375,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"18","Acadian redfish","Gulf of Maine / Georges Bank","com_catch_max","Socioeconomic","1951",258320100,"35",54,7,0.972222222222222,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"19","Acadian redfish","Gulf of Maine / Georges Bank","com_catch_5yr","Socioeconomic","mean of 2014 - 2019",10489283.8,"25",53,7,0.714285714285714,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"20","Acadian redfish","Gulf of Maine / Georges Bank","com_catch_hist","Socioeconomic","magnitude of % change, mean of 2009 - 2019 vs historic",0.839099590827971,"20",52,7,0.555555555555556,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"21","Acadian redfish","Gulf of Maine / Georges Bank","revenue_max","Socioeconomic","1951",123986807.861011,"32",54,7,0.888888888888889,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"22","Acadian redfish","Gulf of Maine / Georges Bank","revenue_5yr","Socioeconomic","mean of 2014 - 2019",6011509.02566533,"24",53,7,0.685714285714286,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"23","Acadian redfish","Gulf of Maine / Georges Bank","revenue_hist","Socioeconomic","magnitude of % change, mean of 2009 - 2019 vs historic",0.762566831277711,"21",52,7,0.583333333333333,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"24","Acadian redfish","Gulf of Maine / Georges Bank","climate_vulnerability","Population","Hare et al. 2016",2,"2 (dense rank)",52,7,0.5,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"25","Acadian redfish","Gulf of Maine / Georges Bank","habitat_vulnerability","Habitat",NA,NA,NA,NA,7,0.5,12.4780920008834,22,55,"Acadian redfish - Gulf of Maine / Georges Bank","Acadian redfish, 12.48"
"26","American plaice","Gulf of Maine / Georges Bank","bbmsy","Population","2019",1.16100001335144,"14",41,7,0.341463414634146,10.9435626864905,7,55,"American plaice - Gulf of Maine / Georges Bank","American plaice, 10.94"
"27","American plaice","Gulf of Maine / Georges Bank","ffmsy","Socioeconomic","2019",0.344999998807907,"14",36,7,0.388888888888889,10.9435626864905,7,55,"American plaice - Gulf of Maine / Georges Bank","American plaice, 10.94"
