"EPU","Habitat Name","Habitat Vulnerability Rank (HVCA)","Importance of habitat by life stage (ACFHP)...4","Importance of habitat by life stage (ACFHP)...5","Importance of habitat by life stage (ACFHP)...6","Importance of habitat by life stage (ACFHP)...7","Species Vulnerability Rank (FCVA)"
"MAB","Marine/estuarine intertidal shellfish reef","Very high",NA,"Moderate","Moderate",NA,"Moderate"
"MAB","Marine/estuarine submerged aquatic vegetation","High","Very high",NA,NA,"Very high","Moderate"
"MAB","Marine intertidal mud","High","Very high","High",NA,NA,"Moderate"
"MAB","Marine intertidal sand","High","Very high","High",NA,NA,"Moderate"
