"Species","Year","State","Pounds","Dollars","Dollars_adj"
"Scup",2019,"CONNECTICUT",1141067,806582,806582
"Scup",2019,"MASSACHUSETTS",1247961,1017368,1017368
"Scup",2019,"NEW JERSEY",1836807,1230179,1230179
"Scup",2019,"NEW YORK",4067582,3199525,3199525
"Scup",2019,"RHODE ISLAND",4583835,2570825,2570825
"Scup",2019,"VIRGINIA",462085,202962,202962
"Scup",2018,"CONNECTICUT",792737,631261,642697.879757416
"Scup",2018,"MARYLAND",42808,29842,30382.6628410765
"Scup",2018,"MASSACHUSETTS",1486676,1299731,1323278.89407865
"Scup",2018,"NEW JERSEY",2475986,1918161,1952913.30801897
"Scup",2018,"NEW YORK",3348867,2798007,2848699.92989652
"Scup",2018,"RHODE ISLAND",4713742,2739752,2789389.49414131
"Scup",2018,"VIRGINIA",441162,267282,272124.485272053
"Scup",2017,"CONNECTICUT",748285,559120,583137.523756942
"Scup",2017,"MARYLAND",87271,48624,50712.6895034296
"Scup",2017,"MASSACHUSETTS",2560120,1910211,1992265.90426612
"Scup",2017,"NEW JERSEY",1841315,1127902,1176352.0877817
"Scup",2017,"NEW YORK",3464504,2492452,2599517.61225325
"Scup",2017,"RHODE ISLAND",5973305,3077934,3210149.54043372
"Scup",2017,"VIRGINIA",559192,293423,306027.260039586
"Scup",2016,"CONNECTICUT",941532,778921,829753.028466216
"Scup",2016,"MARYLAND",53535,39667,42255.6502908117
"Scup",2016,"MASSACHUSETTS",1535946,1029484,1096667.65533028
"Scup",2016,"NEW JERSEY",2336172,1571824,1674400.51586217
"Scup",2016,"NEW YORK",3504265,2896673,3085708.55610045
"Scup",2016,"RHODE ISLAND",6808917,4053288,4317803.72238747
"Scup",2016,"VIRGINIA",447257,249057,265310.345992354
"Scup",2015,"CONNECTICUT",983042,819490,883973.359342283
"Scup",2015,"MARYLAND",25892,11566,12476.0959549877
"Scup",2015,"MASSACHUSETTS",1380263,1091331,1177204.7617718
"Scup",2015,"NEW JERSEY",2981573,1555984,1678419.99727006
"Scup",2015,"NEW YORK",4050297,3137625,3384515.87158639
"Scup",2015,"RHODE ISLAND",6793797,4278299,4614946.29501364
"Scup",2015,"VIRGINIA",509471,321296,346577.877049431
"Scup",2014,"CONNECTICUT",811106,572816,618637.771210105
"Scup",2014,"MARYLAND",530761,137099,148066.080198762
"Scup",2014,"MASSACHUSETTS",1187763,723934,781844.285535348
"Scup",2014,"NEW JERSEY",2351643,1207496,1304088.28347169
"Scup",2014,"NEW YORK",3174867,2313075,2498106.83123693
"Scup",2014,"RHODE ISLAND",6948846,4117991,4447405.05520668
"Scup",2014,"VIRGINIA",694281,366792,396133.113212091
"Scup",2013,"CONNECTICUT",1194761,704681,773345.665618524
"Scup",2013,"MARYLAND",326523,127404,139818.345013506
"Scup",2013,"MASSACHUSETTS",1402830,815540,895006.852942723
"Scup",2013,"NEW JERSEY",2035138,1066431,1170344.86743821
"Scup",2013,"NEW YORK",4574421,2970472,3259917.10581268
"Scup",2013,"RHODE ISLAND",7345731,3666438,4023698.57504183
"Scup",2013,"VIRGINIA",902067,419803,460708.931365615
"Scup",2012,"CONNECTICUT",906821,836665,931650.697826487
"Scup",2012,"MASSACHUSETTS",2005267,1369834,1525349.81385196
"Scup",2012,"NEW JERSEY",978531,610810,680154.617127998
"Scup",2012,"NEW YORK",4306996,3536301,3937773.53465784
"Scup",2012,"RHODE ISLAND",6309352,3904255,4347500.96543127
"Scup",2012,"VIRGINIA",339863,153650,171093.72296085
"Scup",2011,"CONNECTICUT",644443,407568,463247.710887726
"Scup",2011,"MASSACHUSETTS",1243808,801131,910577.135278518
"Scup",2011,"NEW JERSEY",1966479,911935,1036518.57169454
"Scup",2011,"NEW YORK",3728937,2551001,2899504.80342495
"Scup",2011,"RHODE ISLAND",6335364,3311832,3764276.37313214
"Scup",2011,"VIRGINIA",620480,250638,284878.792646817
"Scup",2010,"CONNECTICUT",323874,271680,318490.538519799
"Scup",2010,"MARYLAND",27183,21241,24900.8301262479
"Scup",2010,"MASSACHUSETTS",1030713,671182,786826.842700219
"Scup",2010,"NEW JERSEY",1550249,822987,964787.885839198
"Scup",2010,"NEW YORK",2689696,2112428,2476399.92382325
"Scup",2010,"RHODE ISLAND",4298488,2833017,3321146.60617544
"Scup",2010,"VIRGINIA",371376,137656,161374.166558015
"Scup",2009,"CONNECTICUT",203607,195780,233269.08671667
"Scup",2009,"MASSACHUSETTS",718809,532042,633920.479287519
"Scup",2009,"NEW JERSEY",1528547,932094,1110576.74999534
"Scup",2009,"NEW YORK",1850632,1886862,2248169.24864843
"Scup",2009,"RHODE ISLAND",3618756,2640352,3145941.87174651
"Scup",2009,"VIRGINIA",211576,96349,114798.46376578
"Scup",2008,"CONNECTICUT",282015,382781,454617.038854053
"Scup",2008,"MASSACHUSETTS",527338,576163,684290.800633437
"Scup",2008,"NEW JERSEY",773876,633568,752468.926286008
"Scup",2008,"NEW YORK",1214390,1710628,2031659.45002712
"Scup",2008,"RHODE ISLAND",2153523,2324284,2760479.51579586
"Scup",2008,"VIRGINIA",95939,54480,64704.1945048704
"Scup",2007,"CONNECTICUT",255884,311340,383875.301555787
"Scup",2007,"MASSACHUSETTS",1104143,1024587,1263293.00313207
"Scup",2007,"NEW JERSEY",1575159,1544595,1904451.31177029
"Scup",2007,"NEW YORK",2324667,2348115,2895173.6163444
"Scup",2007,"RHODE ISLAND",3933506,2767300,3412019.40642169
"Scup",2006,"CONNECTICUT",297912,302067,383133.030637533
"Scup",2006,"MASSACHUSETTS",1086829,1220777,1548398.17571133
"Scup",2006,"NEW JERSEY",1392868,1282053,1626118.87868566
"Scup",2006,"NEW YORK",2415793,2450372,3107980.8471278
"Scup",2006,"RHODE ISLAND",3643288,2927401,3713030.60917394
"Scup",2006,"VIRGINIA",80314,64948,82378.1613809071
"Scup",2005,"CONNECTICUT",327861,262584,343785.233209287
"Scup",2005,"MARYLAND",188,154,201.62281751451
"Scup",2005,"MASSACHUSETTS",1138245,1058992,1386473.70626835
"Scup",2005,"NEW JERSEY",1940399,1148761,1504002.78877134
"Scup",2005,"NEW YORK",2180952,2023735,2649552.93897875
"Scup",2005,"RHODE ISLAND",3423821,2429842,3181244.09191618
"Scup",2005,"VIRGINIA",285836,149262,195419.642778252
"Scup",2004,"CONNECTICUT",255569,191284,258865.75356478
"Scup",2004,"DELAWARE",2,3,4.05991750849177
"Scup",2004,"MASSACHUSETTS",775941,571704,773690.35975826
"Scup",2004,"NEW JERSEY",1900801,1087509,1471732.27658079
"Scup",2004,"NEW YORK",1906889,1636981,2215335.94098946
"Scup",2004,"RHODE ISLAND",3425242,2037599,2757494.61846178
"Scup",2004,"VIRGINIA",448556,224597,303948.430884909
