"Species","Region","Year","Value","Metric","Description","Units","AssessmentYear","Age","Category"
"Scup","Atlantic Coast",1981,19514,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1982,16751,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1983,15336,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1984,12836,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1985,14989,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1986,16965,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1987,13902,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1988,11882,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1989,10096,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1990,10350,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1991,16401,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1992,12496,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1993,8367,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1994,7348,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1995,5115,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1996,5874,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1997,4053,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1998,3485,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1999,4390,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2000,7216,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2001,8251,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2002,7710,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2003,13109,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2004,11972,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2005,6637,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2006,8304,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2007,9183,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2008,7284,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2009,10313,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2010,13951,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2011,13252,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2012,12166,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2013,15692,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2014,13382,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2015,15606,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2016,15317,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2017,18961,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",2018,15888,"Catch","Total Catch","Metric Tons",2019,"No age","Other"
"Scup","Atlantic Coast",1984,0.944000005722046,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1985,1.05299997329712,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1986,0.966000020503998,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1987,1.01699995994568,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1988,1.04100000858307,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1989,0.921999990940094,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1990,0.799000024795532,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1991,1.32099997997284,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1992,1.37800002098083,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1993,1.31599998474121,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1994,1.59300005435944,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1995,1.24800002574921,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
"Scup","Atlantic Coast",1996,0.989000022411346,"Fmort","Fully Selected F, Age 3","Rate",2019,"Age 3","Other"
