"status","year","wave","wave_f","sub_reg","sub_reg_f","st","st_f","sp_code","common","mode_fx","mode_fx_f","area_x","area_x_f","estclaim","estclvar","estharv","esthvar","landing","land_var","estrel","estrlvar","tot_cat","lbs_ab1","var_lbs","wgt_ab1","var_wab1","miss_fish","ALT_FLAG","Species"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",9,"CONNECTICUT",8835430101,"SCUP",3,"SHORE",5,"INLAND","181,881","12,111,808,139","0","0","181,881","12,111,808,139","0","0",181881,96987,"3,432,124,697","43,993","706,160,551","0",0,"Scup"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",9,"CONNECTICUT",8835430101,"SCUP",6,"PARTY/CHARTER BOAT",5,"INLAND","209,332","16,956,754,960","45,957","635,103,368","255,289","24,108,557,648","10,785","45,014,093",266075,172546,"11,236,048,250","78,266","2,311,819,855","0",0,"Scup"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",9,"CONNECTICUT",8835430101,"SCUP",7,"PRIVATE/RENTAL BOAT",1,"OCEAN (<= 3 MI)","5,460","22,249,136","0","0","5,460","22,249,136","607","338,161",6067,3879,"11,227,518","1,759","2,310,065","0",0,"Scup"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",9,"CONNECTICUT",8835430101,"SCUP",7,"PRIVATE/RENTAL BOAT",2,"OCEAN (> 3 MI)","34,636","633,089,664","30,560","1,010,790,604","65,195","3,153,968,323","0","0",65195,16709,"167,773,135","7,579","34,519,366","0",0,"Scup"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",9,"CONNECTICUT",8835430101,"SCUP",7,"PRIVATE/RENTAL BOAT",5,"INLAND","773,571","97,470,007,126","1,529,791","544,227,314,357","2,303,362","961,670,941,446","138,422","3,902,134,840",2441784,1273373,"214,260,896,741","577,598","44,084,235,330","0",0,"Scup"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",25,"MASSACHUSETTS",8835430101,"SCUP",3,"SHORE",1,"OCEAN (<= 3 MI)","281,471","43,736,730,632","66,380","4,602,070,138","347,851","53,006,668,882","74,924","4,610,819,251",422776,92593,"3,738,960,158","42,000","769,292,027","0",0,"Scup"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",25,"MASSACHUSETTS",8835430101,"SCUP",3,"SHORE",5,"INLAND","1,241,279","773,569,153,322","7,279","52,685,021","1,248,558","774,870,816,290","141,405","13,660,608,696",1389963,454627,"106,833,102,004","206,218","21,980,938,572","0",0,"Scup"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",25,"MASSACHUSETTS",8835430101,"SCUP",6,"PARTY/CHARTER BOAT",1,"OCEAN (<= 3 MI)","377,205","85,150,567,375","0","0","377,205","85,150,567,375","132,438","10,573,940,876",509643,199822,"23,828,241,385","90,639","4,902,666,873","0",0,"Scup"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",25,"MASSACHUSETTS",8835430101,"SCUP",6,"PARTY/CHARTER BOAT",2,"OCEAN (> 3 MI)","0","0","49,169","1,697,730,978","49,169","1,697,730,978","23,362","383,268,931",72531,53121,"1,981,602,886","24,095","407,715,310","0",0,"Scup"
"FINAL",1981,7,"ANNUAL",4,"NORTH ATLANTIC",25,"MASSACHUSETTS",8835430101,"SCUP",6,"PARTY/CHARTER BOAT",5,"INLAND","20,729","115,308,076","92,337","3,329,500,527","113,066","3,444,808,603","18,103","127,981,287",131169,112335,"4,165,276,150","50,955","857,006,653","0",0,"Scup"
