"Year","Var","Value","EPU"
1959,"cold_pool_index",-1.06832809551384,"MAB"
1960,"cold_pool_index",-1.13168280195838,"MAB"
1961,"cold_pool_index",-1.03237587864526,"MAB"
1962,"cold_pool_index",-0.31601771912706,"MAB"
1963,"cold_pool_index",-0.36354308708533,"MAB"
1964,"cold_pool_index",-0.817171552277342,"MAB"
1965,"cold_pool_index",-1.90753324247828,"MAB"
1966,"cold_pool_index",-1.41413896475649,"MAB"
1967,"cold_pool_index",-1.00497875021599,"MAB"
1968,"cold_pool_index",-1.45827370107331,"MAB"
1969,"cold_pool_index",-0.862064402164399,"MAB"
1970,"cold_pool_index",-1.08999398968545,"MAB"
1971,"cold_pool_index",-1.20252357947068,"MAB"
1972,"cold_pool_index",-0.0937211382271528,"MAB"
1973,"cold_pool_index",-0.0470478058673214,"MAB"
1974,"cold_pool_index",0.988677638499237,"MAB"
1975,"cold_pool_index",-0.0903766182462453,"MAB"
1976,"cold_pool_index",0.310672224964404,"MAB"
1977,"cold_pool_index",-0.448530425019207,"MAB"
1978,"cold_pool_index",-0.632770841348031,"MAB"
1979,"cold_pool_index",-1.46407864374338,"MAB"
1980,"cold_pool_index",-1.18715953552058,"MAB"
1981,"cold_pool_index",-0.791234300448147,"MAB"
1982,"cold_pool_index",-0.755489948907348,"MAB"
1983,"cold_pool_index",0.064643204527984,"MAB"
1984,"cold_pool_index",-1.33149401135588,"MAB"
1985,"cold_pool_index",0.434393473679445,"MAB"
1986,"cold_pool_index",1.37527564168087,"MAB"
1987,"cold_pool_index",-0.659083547923968,"MAB"
1988,"cold_pool_index",-0.693871282422017,"MAB"
1989,"cold_pool_index",-0.230402269341211,"MAB"
1990,"cold_pool_index",0.837888012821632,"MAB"
1991,"cold_pool_index",0.480219894270372,"MAB"
1992,"cold_pool_index",0.0804420594235454,"MAB"
1993,"cold_pool_index",-0.559770378474815,"MAB"
1994,"cold_pool_index",-0.0917754159993631,"MAB"
1995,"cold_pool_index",0.421017599418149,"MAB"
1996,"cold_pool_index",-1.22058576045948,"MAB"
1997,"cold_pool_index",0.0325465999115569,"MAB"
1998,"cold_pool_index",-0.639334956372689,"MAB"
1999,"cold_pool_index",1.76992840045841,"MAB"
2000,"cold_pool_index",1.14155708973827,"MAB"
2001,"cold_pool_index",0.793043133946873,"MAB"
2002,"cold_pool_index",0.712762259890349,"MAB"
2003,"cold_pool_index",-0.187529645966606,"MAB"
2004,"cold_pool_index",-2.24435437839832,"MAB"
2005,"cold_pool_index",-0.192207651104757,"MAB"
2006,"cold_pool_index",1.6551784279368,"MAB"
2007,"cold_pool_index",-1.28638277632524,"MAB"
2008,"cold_pool_index",0.216809547588743,"MAB"
2009,"cold_pool_index",0.215909238418293,"MAB"
2010,"cold_pool_index",-0.146284908318435,"MAB"
2011,"cold_pool_index",0.229623911133307,"MAB"
2012,"cold_pool_index",2.01942832526983,"MAB"
2013,"cold_pool_index",1.25135755902104,"MAB"
2014,"cold_pool_index",2.24761228219811,"MAB"
2015,"cold_pool_index",2.27499427939026,"MAB"
2016,"cold_pool_index",1.81254570325604,"MAB"
2017,"cold_pool_index",0.0766450826254437,"MAB"
2018,"cold_pool_index",-0.0968134309868479,"MAB"
2019,"cold_pool_index",0.937203573875564,"MAB"
2020,"cold_pool_index",1.71928173802819,"MAB"
2021,"cold_pool_index",2.09286614399718,"MAB"
2022,"cold_pool_index",2.56640238925895,"MAB"
