"Year","Var","Value","EPU"
1959,"persistence_index",0.5418974,"MAB"
1960,"persistence_index",0.42662796,"MAB"
1961,"persistence_index",0.45357406,"MAB"
1962,"persistence_index",-0.044928934,"MAB"
1963,"persistence_index",0.07333454,"MAB"
1964,"persistence_index",0.26644832,"MAB"
1965,"persistence_index",0.7754303,"MAB"
1966,"persistence_index",0.62902063,"MAB"
1967,"persistence_index",0.6137537,"MAB"
1968,"persistence_index",0.66764593,"MAB"
1969,"persistence_index",0.187107,"MAB"
1970,"persistence_index",0.5786436,"MAB"
1971,"persistence_index",0.5164483,"MAB"
1972,"persistence_index",0.1007425,"MAB"
1973,"persistence_index",-0.07213433,"MAB"
1974,"persistence_index",-0.66469175,"MAB"
1975,"persistence_index",-0.11379121,"MAB"
1976,"persistence_index",-0.07852162,"MAB"
1977,"persistence_index",0.0883046,"MAB"
1978,"persistence_index",0.3143525,"MAB"
1979,"persistence_index",0.64219683,"MAB"
1980,"persistence_index",0.50147825,"MAB"
1981,"persistence_index",0.29788545,"MAB"
1982,"persistence_index",0.22004113,"MAB"
1983,"persistence_index",-0.2180935,"MAB"
1984,"persistence_index",0.6152507,"MAB"
1985,"persistence_index",-0.10743001,"MAB"
1986,"persistence_index",-0.5655305,"MAB"
1987,"persistence_index",0.083813585,"MAB"
1988,"persistence_index",0.2634543,"MAB"
1989,"persistence_index",0.19177765,"MAB"
1990,"persistence_index",-0.2582861,"MAB"
1991,"persistence_index",-0.07596213,"MAB"
1992,"persistence_index",-0.0107656885,"MAB"
1993,"persistence_index",0.38171777,"MAB"
1994,"persistence_index",-0.18061276,"MAB"
1995,"persistence_index",-0.39337957,"MAB"
1996,"persistence_index",0.694592,"MAB"
1997,"persistence_index",0.16106884,"MAB"
1998,"persistence_index",0.57483155,"MAB"
1999,"persistence_index",-1.1302929,"MAB"
2000,"persistence_index",-0.36231375,"MAB"
2001,"persistence_index",-0.6940042,"MAB"
2002,"persistence_index",0.29531014,"MAB"
2003,"persistence_index",-0.040968895,"MAB"
2004,"persistence_index",0.8368076,"MAB"
2005,"persistence_index",0.1137537,"MAB"
2006,"persistence_index",-1.2639285,"MAB"
2007,"persistence_index",0.7874064,"MAB"
2008,"persistence_index",0.28175652,"MAB"
2009,"persistence_index",-0.24077274,"MAB"
2010,"persistence_index",0.31488657,"MAB"
2011,"persistence_index",0.0063089174,"MAB"
2012,"persistence_index",-0.97850627,"MAB"
2013,"persistence_index",-0.968417,"MAB"
2014,"persistence_index",-1.669209,"MAB"
2015,"persistence_index",-1.5031062,"MAB"
2016,"persistence_index",-0.9918166,"MAB"
2017,"persistence_index",-0.06738402,"MAB"
2018,"persistence_index",0.22752889,"MAB"
2019,"persistence_index",-0.8255574,"MAB"
2020,"persistence_index",-1.3138347,"MAB"
2021,"persistence_index",-0.7749144,"MAB"
2022,"persistence_index",-1.3691795,"MAB"
