"Year","Var","Value","EPU"
1959,"extent_index",83.328125,"MAB"
1960,"extent_index",80.328125,"MAB"
1961,"extent_index",85.328125,"MAB"
1962,"extent_index",66.328125,"MAB"
1963,"extent_index",77.328125,"MAB"
1964,"extent_index",60.328125,"MAB"
1965,"extent_index",91.328125,"MAB"
1966,"extent_index",69.328125,"MAB"
1967,"extent_index",86.328125,"MAB"
1968,"extent_index",91.328125,"MAB"
1969,"extent_index",79.328125,"MAB"
1970,"extent_index",60.328125,"MAB"
1971,"extent_index",91.328125,"MAB"
1972,"extent_index",26.328125,"MAB"
1973,"extent_index",42.328125,"MAB"
1974,"extent_index",-67.671875,"MAB"
1975,"extent_index",23.328125,"MAB"
1976,"extent_index",21.328125,"MAB"
1977,"extent_index",66.328125,"MAB"
1978,"extent_index",77.328125,"MAB"
1979,"extent_index",88.328125,"MAB"
1980,"extent_index",80.328125,"MAB"
1981,"extent_index",69.328125,"MAB"
1982,"extent_index",65.328125,"MAB"
1983,"extent_index",29.328125,"MAB"
1984,"extent_index",87.328125,"MAB"
1985,"extent_index",33.328125,"MAB"
1986,"extent_index",-102.671875,"MAB"
1987,"extent_index",84.328125,"MAB"
1988,"extent_index",86.328125,"MAB"
1989,"extent_index",73.328125,"MAB"
1990,"extent_index",6.328125,"MAB"
1991,"extent_index",7.328125,"MAB"
1992,"extent_index",78.328125,"MAB"
1993,"extent_index",80.328125,"MAB"
1994,"extent_index",19.328125,"MAB"
1995,"extent_index",44.328125,"MAB"
1996,"extent_index",91.328125,"MAB"
1997,"extent_index",43.328125,"MAB"
1998,"extent_index",75.328125,"MAB"
1999,"extent_index",-226.67188,"MAB"
2000,"extent_index",-63.671875,"MAB"
2001,"extent_index",-42.671875,"MAB"
2002,"extent_index",-66.671875,"MAB"
2003,"extent_index",52.328125,"MAB"
2004,"extent_index",91.328125,"MAB"
2005,"extent_index",65.328125,"MAB"
2006,"extent_index",-250.67188,"MAB"
2007,"extent_index",91.328125,"MAB"
2008,"extent_index",16.328125,"MAB"
2009,"extent_index",57.328125,"MAB"
2010,"extent_index",80.328125,"MAB"
2011,"extent_index",26.328125,"MAB"
2012,"extent_index",-287.67188,"MAB"
2013,"extent_index",-121.671875,"MAB"
2014,"extent_index",-365.67188,"MAB"
2015,"extent_index",-331.67188,"MAB"
2016,"extent_index",-237.67188,"MAB"
2017,"extent_index",53.328125,"MAB"
2018,"extent_index",79.328125,"MAB"
2019,"extent_index",-2.671875,"MAB"
2020,"extent_index",-244.67188,"MAB"
2021,"extent_index",-190.67188,"MAB"
2022,"extent_index",-432.67188,"MAB"
