status,year,wave,wave_f,sub_reg,sub_reg_f,st,st_f,sp_code,common,mode_fx,mode_fx_f,area_x,area_x_f,estclaim,estclvar,estharv,esthvar,landing,land_var,estrel,estrlvar,tot_cat,lbs_ab1,var_lbs,wgt_ab1,var_wab1,tot_len,vartotlen,miss_fish,ALT_FLAG
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8707040401,THRESHER SHARK,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),314.00,102420.00,0.00,0.00,314.00,102420.00,0.00,0.00,314.00,0.00,0.00,0.00,0.00,0.00,0.00,314.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8707040501,SHORTFIN MAKO,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),375.00,87422.00,0.00,0.00,375.00,87422.00,0.00,0.00,375.00,35197.00,768331346.00,15965.00,158084375.00,592441.00,217687700139.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,4,PARTY BOAT,1,OCEAN (<= 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,21.00,225.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,4,PARTY BOAT,5,INLAND,54.00,4042.00,0.00,0.00,54.00,4042.00,70.00,4338.00,124.00,474.00,315638.00,215.00,64943.00,49781.00,3488794456.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,5,CHARTER BOAT,1,OCEAN (<= 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,304.00,8231.00,304.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,5,CHARTER BOAT,5,INLAND,0.00,0.00,0.00,0.00,0.00,0.00,538.00,330708.00,538.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,6276.00,16217433.00,6276.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,721.00,208469.00,721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020401,SMOOTH DOGFISH,7,PRIVATE/RENTAL BOAT,5,INLAND,2342.00,1605798.00,0.00,0.00,2342.00,1605798.00,89504.00,653681530.00,91846.00,14788.00,67733287.00,6708.00,13936141.00,1865550.00,936604893217.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8708020601,BLUE SHARK,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,5144.00,12127257.00,5144.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,4,PARTY BOAT,1,OCEAN (<= 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,33.00,153.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,137.00,22119.00,137.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,699.00,293772.00,699.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010000,DOGFISH SHARK,7,PRIVATE/RENTAL BOAT,5,INLAND,0.00,0.00,2240.00,4964095.00,2240.00,4964095.00,39543.00,199802763.00,41783.00,0.00,0.00,0.00,0.00,0.00,0.00,2240.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8710010201,SPINY DOGFISH,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,1569.00,2560490.00,1569.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,3,SHORE,5,INLAND,0.00,0.00,0.00,0.00,0.00,0.00,616.00,451982.00,616.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,4,PARTY BOAT,1,OCEAN (<= 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,41.00,216.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,4,PARTY BOAT,2,OCEAN (> 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,55.00,1133.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,5,CHARTER BOAT,1,OCEAN (<= 3 MI),0.00,0.00,43.00,385.00,43.00,385.00,0.00,0.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,43.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,7,PRIVATE/RENTAL BOAT,1,OCEAN (<= 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,5161.00,11127781.00,5161.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,7,PRIVATE/RENTAL BOAT,2,OCEAN (> 3 MI),0.00,0.00,0.00,0.00,0.00,0.00,3264.00,3317787.00,3264.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FINAL,2017,7,ANNUAL,4,NORTH ATLANTIC,9,CONNECTICUT,8713040100,SKATE GENUS,7,PRIVATE/RENTAL BOAT,5,INLAND,0.00,0.00,0.00,0.00,0.00,0.00,36325.00,117186001.00,36325.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
